,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
0,0.4648,2018-06-09 23:39:09,0.551,0.155,0.294,CNN,RT @kenpinkela: PLEASE Keep Sharing this information:  How to get help for someone who might be suicidal @CNN https://t.co/1fwZa3oplv #8002…,1
1,0.5719,2018-06-09 23:39:09,0.791,0.0,0.209,FoxNews,"RT @FoxNews: BREAKING: Justify wins the Belmont Stakes, earning the coveted Triple Crown https://t.co/EEHEgMVywm https://t.co/vjiT9IgcDg",2
2,0.5859,2018-06-09 23:39:09,0.858,0.0,0.142,FoxNews,"RT @FoxNews: On this day in 1973, Secretariat becomes the first horse since Citation in 1948 to win the Triple Crown with a spectacular vic…",3
3,-0.34,2018-06-09 23:39:09,0.902,0.098,0.0,nytimes,"RT @nytimes: In Canada, many observers were calling it the ""G-6 plus 1"" — with President Trump being cast as the irrational, irascible and…",4
4,0.0,2018-06-09 23:39:08,1.0,0.0,0.0,FoxNews,RT @FoxNews: Kim Jong Un and Donald Trump impersonators arrive in Singapore https://t.co/gQUxSLndMo,5
5,0.5709,2018-06-09 23:39:08,0.85,0.0,0.15,FoxNews,"RT @RealJamesWoods: When the #Left and their media errand boys can’t handle yet more winning by #Trump, they invariably start this nonsense…",6
6,0.5106,2018-06-09 23:39:08,0.645,0.0,0.355,FoxNews,@FoxNews Free the animals then I’d visit,7
7,0.25,2018-06-09 23:39:08,0.803,0.08,0.117,nytimes,"RT @SenBlumenthal: Trump thinks the Russian bear is a big friendly pet while Putin, a KGB thug, eats his lunch. No seat at the table until…",8
8,0.5267,2018-06-09 23:39:08,0.523,0.14,0.337,nytimes,RT @androsForm: Soros is everywhere. Oh yeah he’s Rich. Nvm alarm https://t.co/0VOtrUgwaN,9
9,0.0,2018-06-09 23:39:08,1.0,0.0,0.0,CNN,"RT @thebradfordfile: The G-7 is having a discussion on climate change without Trump.

Why?

President Trump is flying to Singapore to work…",10
10,-0.296,2018-06-09 23:39:08,0.905,0.095,0.0,CNN,RT @CNN: JUST IN: Canadian Prime Minister Justin Trudeau says he will impose retaliatory measures to answer President Trump's tariffs on st…,11
11,0.0,2018-06-09 23:39:08,1.0,0.0,0.0,CNN,"@PressSec @MichaelDelauzon @newsbyhughes @CNN @Scavino45 As usual Sarah, @CNN is #VeryFakeNews",12
12,0.0,2018-06-09 23:39:08,1.0,0.0,0.0,CNN,RT @PhilippeCorbe: Conséquence de cette déclaration finale de Justin Trudeau https://t.co/Vm2yoDr7F0,13
13,-0.5207,2018-06-09 23:39:08,0.796,0.204,0.0,CNN,"Trump criticizes the Canadian Prime Minister and says US won't endorse G7 joint statement
Another big baby Trumper… https://t.co/ca2RxL58ur",14
14,0.34,2018-06-09 23:39:07,0.746,0.082,0.172,CNN,"RT @jimsciutto: And in response, Trump says he will no longer endorse G7 communique. Please explain how that is strategic rather than react…",15
15,0.0,2018-06-09 23:39:07,1.0,0.0,0.0,nytimes,Justify takes the Triple Crown. https://t.co/YUzQOZqbf8,16
16,0.0,2018-06-09 23:39:07,1.0,0.0,0.0,CBSNews,"On croit toujours qu’Elisabeth est toujours la reine d’Angleterre, mais en fait c’est George de Cambridge le roi. C… https://t.co/kMDEdnFiez",17
17,-0.5994,2018-06-09 23:39:07,0.803,0.197,0.0,FoxNews,"RT @RealJamesWoods: Its ALWAYS some snake oil, slime ball, back door, stealth shit with the Clintons. Can these people even breathe without…",18
18,0.0,2018-06-09 23:39:07,1.0,0.0,0.0,FoxNews,RT @FoxNews: German Chancellor Angela Merkel speaks with President @realDonaldTrump during proceedings on the sidelines of the official ord…,19
19,0.0,2018-06-09 23:39:06,1.0,0.0,0.0,CNN,RT @Vallmeister: Trudeau has SNAPPED and has zero chill for Trump: https://t.co/fTziErOjlC,20
20,-0.4767,2018-06-09 23:39:06,0.807,0.193,0.0,FoxNews,RT @Katt4Trump_45: Trump Dismisses 'Fake News CNN' Reporter's Question During G7 Summit Briefing https://t.co/aJ3w5zvCDt,21
21,0.34,2018-06-09 23:39:06,0.746,0.082,0.172,CNN,"RT @jimsciutto: And in response, Trump says he will no longer endorse G7 communique. Please explain how that is strategic rather than react…",22
22,0.4215,2018-06-09 23:39:06,0.742,0.094,0.164,CNN,"RT @ColumbiaBugle: Last night @PressSec slammed CNN on CNN and it was glorious: ""Unfortunately you guys quit reporting the news"" https://t.…",23
23,0.0,2018-06-09 23:39:06,1.0,0.0,0.0,CNN,"RT @Jessicarisent: https://t.co/i0tiu16VMh Anthony Bourdain, CNN host and celebrity chef, hanged himself with bathrobe belt, prosecutors sa…",24
